"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"2475","BrooklynNets","WashingtonWizards",111,120,0,2016-04-11,231,0,0,105,1,1,113,0,0,234,211,0,"Apr",1207
"2476","MinnesotaTimberwolves","HoustonRockets",105,129,0,2016-04-11,234,1,0,106,1,1,130,0,0,211,240,0,"Apr",1207
"2477","NewOrleansPelicans","ChicagoBulls",116,121,0,2016-04-11,237,0,1,100,1,1,105,0,0,221,207,0,"Apr",1207
"2478","OklahomaCityThunder","LosAngelesLakers",112,79,0,2016-04-11,191,0,0,112,0,0,110,0,0,226,240,0,"Apr",1207
"2479","UtahJazz","DallasMavericks",92,101,0,2016-04-11,193,1,0,100,0,0,91,0,0,184,189,0,"Apr",1207
"2480","PhoenixSuns","SacramentoKings",101,105,0,2016-04-11,206,1,0,121,1,1,114,0,0,221,226,0,"Apr",1207
"2481","IndianaPacers","NewYorkKnicks",102,90,0,2016-04-12,192,1,1,129,0,1,89,0,0,234,182,0,"Apr",1214
"2482","DetroitPistons","MiamiHeat",93,99,0,2016-04-12,192,1,1,112,1,1,118,0,0,211,214,0,"Apr",1214
"2483","TorontoRaptors","PhiladelphiaErs",122,98,0,2016-04-12,220,1,0,93,0,1,108,0,1,182,217,0,"Apr",1214
"2484","SanAntonioSpurs","OklahomaCityThunder",102,98,1,2016-04-12,200,0,1,86,1,1,112,0,0,178,191,0,"Apr",1214
"2485","LosAngelesClippers","MemphisGrizzlies",110,84,0,2016-04-12,194,1,1,98,0,1,99,0,0,189,199,0,"Apr",1214
"2486","BostonCeltics","MiamiHeat",98,88,0,2016-04-13,186,0,1,100,1,0,99,0,0,214,192,0,"Apr",1223.5
"2487","BrooklynNets","TorontoRaptors",96,103,0,2016-04-13,199,0,1,111,1,1,122,0,0,231,220,0,"Apr",1223.5
"2488","CharlotteHornets","OrlandoMagic",117,103,0,2016-04-13,220,1,0,114,1,1,107,0,0,214,205,0,"Apr",1223.5
"2489","ClevelandCavaliers","DetroitPistons",110,112,1,2016-04-13,222,1,1,109,0,1,93,0,0,203,192,0,"Apr",1223.5
"2490","WashingtonWizards","AtlantaHawks",109,98,0,2016-04-13,207,1,0,120,0,0,94,0,0,231,203,0,"Apr",1223.5
"2491","ChicagoBulls","PhiladelphiaErs",115,105,0,2016-04-13,220,1,0,121,0,0,98,0,0,237,220,0,"Apr",1223.5
"2492","DallasMavericks","SanAntonioSpurs",91,96,0,2016-04-13,187,1,0,101,1,1,102,0,1,193,200,0,"Apr",1223.5
"2493","HoustonRockets","SacramentoKings",116,81,0,2016-04-13,197,1,0,129,1,0,105,0,0,234,206,0,"Apr",1223.5
"2494","MilwaukeeBucks","IndianaPacers",92,97,0,2016-04-13,189,0,0,98,1,1,102,0,0,205,192,0,"Apr",1223.5
"2495","MinnesotaTimberwolves","NewOrleansPelicans",144,109,0,2016-04-13,253,0,1,105,0,1,116,0,0,234,237,0,"Apr",1223.5
"2496","GoldenStateWarriors","MemphisGrizzlies",125,104,0,2016-04-13,229,1,0,92,0,0,84,0,0,178,194,0,"Apr",1223.5
"2497","LosAngelesLakers","UtahJazz",101,96,0,2016-04-13,197,0,0,79,0,1,92,0,0,191,193,0,"Apr",1223.5
"2498","PhoenixSuns","LosAngelesClippers",114,105,0,2016-04-13,219,0,1,101,1,1,110,0,0,206,194,0,"Apr",1223.5
"2499","PortlandTrailBlazers","DenverNuggets",107,99,0,2016-04-13,206,0,1,105,0,1,84,0,0,211,184,0,"Apr",1223.5
"2500","TorontoRaptors","IndianaPacers",90,100,0,2016-04-16,190,1,0,103,1,0,97,0,0,199,189,0,"Apr",1232.5
"2501","GoldenStateWarriors","HoustonRockets",104,78,0,2016-04-16,182,1,1,125,1,1,116,0,0,229,197,0,"Apr",1232.5
"2502","OklahomaCityThunder","DallasMavericks",108,70,0,2016-04-16,178,0,0,98,0,1,91,1,0,200,187,1,"Apr",1232.5
"2503","AtlantaHawks","BostonCeltics",102,101,0,2016-04-16,203,0,0,98,1,1,98,0,0,207,186,0,"Apr",1232.5
"2504","SanAntonioSpurs","MemphisGrizzlies",106,74,0,2016-04-17,180,1,0,96,0,0,104,0,0,187,229,0,"Apr",1236.5
"2505","LosAngelesClippers","PortlandTrailBlazers",115,95,0,2016-04-17,210,0,0,105,1,1,107,0,0,219,206,0,"Apr",1236.5
"2506","ClevelandCavaliers","DetroitPistons",106,101,0,2016-04-17,207,0,1,110,1,0,112,1,1,222,222,1,"Apr",1236.5
"2507","MiamiHeat","CharlotteHornets",123,91,0,2016-04-17,214,0,0,88,1,1,117,0,0,186,220,0,"Apr",1236.5
"2508","TorontoRaptors","IndianaPacers",98,87,0,2016-04-18,185,0,1,90,1,0,100,0,0,190,190,0,"Apr",1240
"2509","GoldenStateWarriors","HoustonRockets",115,106,0,2016-04-18,221,1,1,104,0,0,78,0,0,182,182,0,"Apr",1240
"2510","OklahomaCityThunder","DallasMavericks",84,85,0,2016-04-18,169,1,1,108,0,0,70,0,0,178,178,0,"Apr",1240
"2511","SanAntonioSpurs","MemphisGrizzlies",94,68,0,2016-04-19,162,1,1,106,0,0,74,0,0,180,180,0,"Apr",1242.5
"2512","AtlantaHawks","BostonCeltics",89,72,0,2016-04-19,161,1,1,102,0,0,101,0,0,203,203,0,"Apr",1242.5
"2513","LosAngelesClippers","PortlandTrailBlazers",102,81,0,2016-04-20,183,1,1,115,0,0,95,0,0,210,210,0,"Apr",1245
"2514","ClevelandCavaliers","DetroitPistons",107,90,0,2016-04-20,197,1,1,106,0,0,101,0,0,207,207,0,"Apr",1245
"2515","MiamiHeat","CharlotteHornets",115,103,0,2016-04-20,218,1,1,123,0,0,91,0,0,214,214,0,"Apr",1245
"2516","IndianaPacers","TorontoRaptors",85,101,0,2016-04-21,186,0,0,87,1,1,98,0,0,185,185,0,"Apr",1248
"2517","HoustonRockets","GoldenStateWarriors",97,96,0,2016-04-21,193,0,0,106,1,1,115,0,0,221,221,0,"Apr",1248
"2518","DallasMavericks","OklahomaCityThunder",102,131,0,2016-04-21,233,1,0,85,0,1,84,0,0,169,169,0,"Apr",1248
"2519","MemphisGrizzlies","SanAntonioSpurs",87,96,0,2016-04-22,183,0,0,68,1,1,94,0,0,162,162,0,"Apr",1251
"2520","DetroitPistons","ClevelandCavaliers",91,101,0,2016-04-22,192,0,0,90,1,1,107,0,0,197,197,0,"Apr",1251
"2521","BostonCeltics","AtlantaHawks",111,103,0,2016-04-22,214,0,0,72,1,1,89,0,0,161,161,0,"Apr",1251
"2522","IndianaPacers","TorontoRaptors",100,83,0,2016-04-23,183,0,1,85,1,0,101,0,0,186,186,0,"Apr",1254.5
"2523","DallasMavericks","OklahomaCityThunder",108,119,0,2016-04-23,227,0,1,102,1,0,131,0,0,233,233,0,"Apr",1254.5
"2524","PortlandTrailBlazers","LosAngelesClippers",96,88,0,2016-04-23,184,0,0,81,1,1,102,0,0,183,183,0,"Apr",1254.5
"2525","CharlotteHornets","MiamiHeat",96,80,0,2016-04-23,176,0,0,103,1,1,115,0,0,218,218,0,"Apr",1254.5
"2526","HoustonRockets","GoldenStateWarriors",94,121,0,2016-04-24,215,1,1,97,0,0,96,0,0,193,193,0,"Apr",1258.5
"2527","MemphisGrizzlies","SanAntonioSpurs",95,116,0,2016-04-24,211,0,1,87,1,0,96,0,0,183,183,0,"Apr",1258.5
"2528","DetroitPistons","ClevelandCavaliers",98,100,0,2016-04-24,198,0,1,91,1,0,101,0,0,192,192,0,"Apr",1258.5
"2529","BostonCeltics","AtlantaHawks",104,95,1,2016-04-24,199,1,1,111,0,0,103,0,0,214,214,0,"Apr",1258.5
"2530","OklahomaCityThunder","DallasMavericks",118,104,0,2016-04-25,222,1,0,119,0,1,108,0,0,227,227,0,"Apr",1262
"2531","PortlandTrailBlazers","LosAngelesClippers",98,84,0,2016-04-25,182,1,1,96,0,0,88,0,0,184,184,0,"Apr",1262
"2532","CharlotteHornets","MiamiHeat",89,85,0,2016-04-25,174,1,1,96,0,0,80,0,0,176,176,0,"Apr",1262
"2533","TorontoRaptors","IndianaPacers",102,99,0,2016-04-26,201,0,0,83,1,1,100,0,0,183,183,0,"Apr",1264.5
"2534","AtlantaHawks","BostonCeltics",110,83,0,2016-04-26,193,0,0,95,1,1,104,1,1,199,199,1,"Apr",1264.5
"2535","GoldenStateWarriors","HoustonRockets",114,81,0,2016-04-27,195,1,0,121,0,1,94,0,0,215,215,0,"Apr",1267
"2536","LosAngelesClippers","PortlandTrailBlazers",98,108,0,2016-04-27,206,0,0,84,1,1,98,0,0,182,182,0,"Apr",1267
"2537","MiamiHeat","CharlotteHornets",88,90,0,2016-04-27,178,0,0,85,1,1,89,0,0,174,174,0,"Apr",1267
"2538","BostonCeltics","AtlantaHawks",92,104,0,2016-04-28,196,0,0,83,1,1,110,0,0,193,193,0,"Apr",1269
"2539","IndianaPacers","TorontoRaptors",101,83,0,2016-04-29,184,0,0,99,1,1,102,0,0,201,201,0,"Apr",1271
"2540","PortlandTrailBlazers","LosAngelesClippers",106,103,0,2016-04-29,209,1,0,108,0,1,98,0,0,206,206,0,"Apr",1271
"2541","CharlotteHornets","MiamiHeat",90,97,0,2016-04-29,187,1,0,90,0,1,88,0,0,178,178,0,"Apr",1271
"2542","SanAntonioSpurs","OklahomaCityThunder",124,92,0,2016-04-30,216,1,0,116,1,1,118,0,0,211,222,0,"Apr",1273
"2543","ClevelandCavaliers","NewYorkKnicks",117,88,0,2016-10-25,205,1,0,100,0,0,90,0,0,198,192,0,"Oct",1275
"2544","PortlandTrailBlazers","UtahJazz",113,104,0,2016-10-25,217,1,1,106,0,0,96,0,0,209,197,0,"Oct",1275
"2545","GoldenStateWarriors","SanAntonioSpurs",100,129,0,2016-10-25,229,1,1,114,1,1,124,0,0,195,216,0,"Oct",1275
"2546","OrlandoMagic","MiamiHeat",96,108,0,2016-10-26,204,0,0,103,1,0,97,0,0,220,187,0,"Oct",1281.5
"2547","IndianaPacers","DallasMavericks",130,121,1,2016-10-26,251,1,1,101,0,0,104,0,0,184,222,0,"Oct",1281.5
"2548","BostonCeltics","BrooklynNets",122,117,0,2016-10-26,239,0,1,92,0,1,96,0,0,196,199,0,"Oct",1281.5
"2549","TorontoRaptors","DetroitPistons",109,91,0,2016-10-26,200,0,0,83,0,1,98,0,0,184,198,0,"Oct",1281.5
"2550","MilwaukeeBucks","CharlotteHornets",96,107,0,2016-10-26,203,0,1,92,0,1,90,0,0,189,187,0,"Oct",1281.5
"2551","MemphisGrizzlies","MinnesotaTimberwolves",102,98,0,2016-10-26,200,0,1,95,1,1,144,0,0,211,253,0,"Oct",1281.5
"2552","NewOrleansPelicans","DenverNuggets",102,107,0,2016-10-26,209,0,0,109,0,0,99,0,0,253,206,0,"Oct",1281.5
"2553","PhiladelphiaErs","OklahomaCityThunder",97,103,0,2016-10-26,200,0,0,105,0,0,92,0,0,220,216,0,"Oct",1281.5
"2554","PhoenixSuns","SacramentoKings",94,113,0,2016-10-26,207,1,1,114,0,0,81,0,0,219,197,0,"Oct",1281.5
"2555","LosAngelesLakers","HoustonRockets",120,114,0,2016-10-26,234,1,1,101,0,0,81,0,0,197,195,0,"Oct",1281.5
"2556","AtlantaHawks","WashingtonWizards",114,99,0,2016-10-27,213,1,0,104,1,1,109,0,0,196,207,0,"Oct",1288.5
"2557","ChicagoBulls","BostonCeltics",105,99,0,2016-10-27,204,1,1,115,1,1,122,0,0,220,239,0,"Oct",1288.5
"2558","SacramentoKings","SanAntonioSpurs",94,102,0,2016-10-27,196,1,0,113,1,0,129,0,0,207,229,0,"Oct",1288.5
"2559","PortlandTrailBlazers","LosAngelesClippers",106,114,0,2016-10-27,220,1,1,113,0,0,103,0,0,217,209,0,"Oct",1288.5
"2560","TorontoRaptors","ClevelandCavaliers",91,94,0,2016-10-28,185,1,1,109,1,1,117,0,0,200,205,0,"Oct",1294.5
"2561","BrooklynNets","IndianaPacers",103,94,0,2016-10-28,197,0,0,117,1,1,130,0,1,239,251,0,"Oct",1294.5
"2562","DetroitPistons","OrlandoMagic",108,82,0,2016-10-28,190,0,0,91,0,1,96,0,0,200,204,0,"Oct",1294.5
"2563","OklahomaCityThunder","PhoenixSuns",113,110,1,2016-10-28,223,1,0,103,0,1,94,0,0,200,207,0,"Oct",1294.5
"2564","MiamiHeat","CharlotteHornets",91,97,0,2016-10-28,188,1,0,108,1,0,107,0,0,204,203,0,"Oct",1294.5
"2565","DallasMavericks","HoustonRockets",98,106,0,2016-10-28,204,0,0,121,0,0,114,1,0,251,234,1,"Oct",1294.5
"2566","UtahJazz","LosAngelesLakers",96,89,0,2016-10-28,185,0,0,104,1,1,120,0,0,217,234,0,"Oct",1294.5
"2567","NewOrleansPelicans","GoldenStateWarriors",114,122,0,2016-10-28,236,0,1,102,0,1,100,0,0,209,229,0,"Oct",1294.5
"2568","PhiladelphiaErs","AtlantaHawks",72,104,0,2016-10-29,176,0,1,97,1,1,114,0,0,200,213,0,"Oct",1303
"2569","CharlotteHornets","BostonCeltics",98,104,0,2016-10-29,202,1,0,97,0,0,99,0,0,188,204,0,"Oct",1303
"2570","NewYorkKnicks","MemphisGrizzlies",111,104,0,2016-10-29,215,0,0,88,1,1,102,0,0,205,200,0,"Oct",1303
"2571","ClevelandCavaliers","OrlandoMagic",105,99,0,2016-10-29,204,1,0,94,0,0,82,0,0,185,190,0,"Oct",1303
"2572","ChicagoBulls","IndianaPacers",118,101,0,2016-10-29,219,1,1,105,0,0,94,0,0,204,197,0,"Oct",1303
"2573","MilwaukeeBucks","BrooklynNets",110,108,0,2016-10-29,218,0,1,96,1,1,103,0,0,203,197,0,"Oct",1303
"2574","SanAntonioSpurs","NewOrleansPelicans",98,79,0,2016-10-29,177,1,0,102,0,1,114,0,0,196,236,0,"Oct",1303
"2575","DenverNuggets","PortlandTrailBlazers",113,115,1,2016-10-29,228,1,0,107,0,1,106,0,0,209,220,0,"Oct",1303
"2576","SacramentoKings","MinnesotaTimberwolves",106,103,0,2016-10-29,209,0,1,94,0,0,98,0,0,196,200,0,"Oct",1303
"2577","LosAngelesClippers","UtahJazz",88,75,0,2016-10-30,163,1,0,114,1,1,96,0,0,220,185,0,"Oct",1311
"2578","PhoenixSuns","GoldenStateWarriors",100,106,0,2016-10-30,206,0,0,110,1,0,122,1,0,223,236,1,"Oct",1311
"2579","MiamiHeat","SanAntonioSpurs",99,106,0,2016-10-30,205,0,1,91,1,1,98,0,0,188,177,0,"Oct",1311
"2580","DetroitPistons","MilwaukeeBucks",98,83,0,2016-10-30,181,1,1,108,1,1,110,0,0,190,218,0,"Oct",1311
"2581","OklahomaCityThunder","LosAngelesLakers",113,96,0,2016-10-30,209,1,1,113,0,0,89,1,0,223,185,1,"Oct",1311
"2582","MemphisGrizzlies","WashingtonWizards",112,103,1,2016-10-30,215,0,0,104,0,0,99,0,0,215,213,0,"Oct",1311
"2583","HoustonRockets","DallasMavericks",93,92,0,2016-10-30,185,1,0,106,0,1,98,0,0,204,204,0,"Oct",1311
"2584","TorontoRaptors","DenverNuggets",105,102,0,2016-10-31,207,0,1,91,0,1,113,0,1,185,228,0,"Oct",1316.5
"2585","BrooklynNets","ChicagoBulls",88,118,0,2016-10-31,206,0,0,108,1,1,118,0,0,218,219,0,"Oct",1316.5
"2586","AtlantaHawks","SacramentoKings",106,95,0,2016-10-31,201,1,0,104,1,1,106,0,0,176,209,0,"Oct",1316.5
"2587","LosAngelesClippers","PhoenixSuns",116,98,0,2016-10-31,214,1,1,88,0,1,100,0,0,163,206,0,"Oct",1316.5
"2588","PhiladelphiaErs","OrlandoMagic",101,103,0,2016-11-01,204,0,1,72,0,0,99,0,0,176,204,0,"Nov",1323
"2589","ClevelandCavaliers","HoustonRockets",128,120,0,2016-11-01,248,1,1,105,1,1,93,0,0,204,185,0,"Nov",1323
"2590","IndianaPacers","LosAngelesLakers",115,108,0,2016-11-01,223,0,0,101,0,0,96,0,0,219,209,0,"Nov",1323
"2591","MiamiHeat","SacramentoKings",108,96,1,2016-11-01,204,0,1,99,0,0,95,0,0,205,201,0,"Nov",1323
"2592","DetroitPistons","NewYorkKnicks",102,89,0,2016-11-01,191,1,1,98,1,1,111,0,0,181,215,0,"Nov",1323
"2593","NewOrleansPelicans","MilwaukeeBucks",113,117,0,2016-11-01,230,0,0,79,0,0,83,0,0,177,181,0,"Nov",1323
"2594","MinnesotaTimberwolves","MemphisGrizzlies",116,80,0,2016-11-01,196,0,0,103,1,1,112,0,1,209,215,0,"Nov",1323
"2595","SanAntonioSpurs","UtahJazz",91,106,0,2016-11-01,197,1,0,106,0,0,75,0,0,205,163,0,"Nov",1323
"2596","PortlandTrailBlazers","GoldenStateWarriors",104,127,0,2016-11-01,231,1,0,115,1,0,106,1,0,228,206,1,"Nov",1323
"2597","WashingtonWizards","TorontoRaptors",103,113,0,2016-11-02,216,0,0,103,1,1,105,1,0,215,207,1,"Nov",1332.5
"2598","CharlotteHornets","PhiladelphiaErs",109,93,0,2016-11-02,202,0,1,98,0,1,101,0,0,202,204,0,"Nov",1332.5
"2599","BrooklynNets","DetroitPistons",109,101,0,2016-11-02,210,0,1,88,1,1,102,0,0,206,191,0,"Nov",1332.5
"2600","NewYorkKnicks","HoustonRockets",99,118,0,2016-11-02,217,0,0,89,0,0,120,0,0,191,248,0,"Nov",1332.5
"2601","AtlantaHawks","LosAngelesLakers",116,123,0,2016-11-02,239,1,1,106,0,0,108,0,0,201,223,0,"Nov",1332.5
"2602","MemphisGrizzlies","NewOrleansPelicans",89,83,1,2016-11-02,172,0,0,80,0,1,113,0,0,196,230,0,"Nov",1332.5
"2603","BostonCeltics","ChicagoBulls",107,100,0,2016-11-02,207,1,0,104,1,0,118,0,0,202,206,0,"Nov",1332.5
"2604","UtahJazz","DallasMavericks",97,81,0,2016-11-02,178,1,0,106,0,0,92,0,0,197,185,0,"Nov",1332.5
"2605","PhoenixSuns","PortlandTrailBlazers",118,115,1,2016-11-02,233,0,0,98,0,1,104,0,0,214,231,0,"Nov",1332.5
"2606","LosAngelesClippers","OklahomaCityThunder",83,85,0,2016-11-02,168,1,1,116,1,1,113,0,0,214,209,0,"Nov",1332.5
"2607","OrlandoMagic","SacramentoKings",102,94,0,2016-11-03,196,1,0,103,0,0,96,0,1,204,204,0,"Nov",1340
"2608","MilwaukeeBucks","IndianaPacers",125,107,0,2016-11-03,232,1,0,117,1,1,115,0,0,230,223,0,"Nov",1340
"2609","MinnesotaTimberwolves","DenverNuggets",99,102,0,2016-11-03,201,1,1,116,0,0,102,0,0,196,207,0,"Nov",1340
"2610","ClevelandCavaliers","BostonCeltics",128,122,0,2016-11-03,250,1,1,128,1,1,107,0,0,248,207,0,"Nov",1340
"2611","GoldenStateWarriors","OklahomaCityThunder",122,96,0,2016-11-03,218,1,0,127,1,0,85,0,0,231,168,0,"Nov",1340
"2612","WashingtonWizards","AtlantaHawks",95,92,0,2016-11-04,187,0,1,103,0,1,116,0,0,216,239,0,"Nov",1347
"2613","TorontoRaptors","MiamiHeat",96,87,0,2016-11-04,183,1,0,113,1,1,108,0,1,216,204,0,"Nov",1347
"2614","BrooklynNets","CharlotteHornets",95,99,0,2016-11-04,194,1,1,109,1,1,109,0,0,210,202,0,"Nov",1347
"2615","ChicagoBulls","NewYorkKnicks",104,117,0,2016-11-04,221,0,0,100,0,1,99,0,0,207,217,0,"Nov",1347
"2616","MemphisGrizzlies","LosAngelesClippers",88,99,0,2016-11-04,187,1,1,89,0,1,83,1,0,172,168,1,"Nov",1347
"2617","NewOrleansPelicans","PhoenixSuns",111,112,1,2016-11-04,223,0,0,83,1,1,118,1,1,172,233,1,"Nov",1347
"2618","DallasMavericks","PortlandTrailBlazers",95,105,0,2016-11-04,200,0,0,81,0,0,115,0,1,178,233,0,"Nov",1347
"2619","UtahJazz","SanAntonioSpurs",86,100,0,2016-11-04,186,1,1,97,0,1,91,0,0,178,197,0,"Nov",1347
"2620","LosAngelesLakers","GoldenStateWarriors",117,97,0,2016-11-04,214,1,0,123,1,1,122,0,0,239,218,0,"Nov",1347
"2621","OklahomaCityThunder","MinnesotaTimberwolves",112,92,0,2016-11-05,204,0,0,96,0,1,99,0,0,218,201,0,"Nov",1355.5
"2622","PhiladelphiaErs","ClevelandCavaliers",101,102,0,2016-11-05,203,0,0,93,1,1,128,0,0,202,250,0,"Nov",1355.5
"2623","OrlandoMagic","WashingtonWizards",88,86,0,2016-11-05,174,1,1,102,1,1,95,0,0,196,187,0,"Nov",1355.5
"2624","DetroitPistons","DenverNuggets",103,86,0,2016-11-05,189,0,0,101,1,0,102,0,0,210,201,0,"Nov",1355.5
"2625","IndianaPacers","ChicagoBulls",111,94,0,2016-11-05,205,0,0,107,0,1,104,0,0,232,221,0,"Nov",1355.5
"2626","AtlantaHawks","HoustonRockets",112,97,0,2016-11-05,209,0,0,92,1,0,118,0,0,187,217,0,"Nov",1355.5
"2627","MilwaukeeBucks","SacramentoKings",117,91,0,2016-11-05,208,1,1,125,0,0,94,0,0,232,196,0,"Nov",1355.5
"2628","SanAntonioSpurs","LosAngelesClippers",92,116,0,2016-11-05,208,1,0,100,1,0,99,0,0,186,187,0,"Nov",1355.5
"2629","NewYorkKnicks","UtahJazz",109,114,0,2016-11-06,223,1,0,117,0,1,86,0,0,221,186,0,"Nov",1362.5
"2630","MemphisGrizzlies","PortlandTrailBlazers",94,100,0,2016-11-06,194,0,1,88,1,0,105,0,0,187,200,0,"Nov",1362.5
"2631","TorontoRaptors","SacramentoKings",91,96,0,2016-11-06,187,1,1,96,0,0,91,0,0,183,208,0,"Nov",1362.5
"2632","DallasMavericks","MilwaukeeBucks",86,75,1,2016-11-06,161,0,1,95,1,1,117,0,0,200,208,0,"Nov",1362.5
"2633","BostonCeltics","DenverNuggets",107,123,0,2016-11-06,230,0,0,122,0,0,86,0,0,250,189,0,"Nov",1362.5
"2634","LosAngelesLakers","PhoenixSuns",119,108,0,2016-11-06,227,1,1,117,1,0,112,0,1,214,223,0,"Nov",1362.5
"2635","PhiladelphiaErs","UtahJazz",84,109,0,2016-11-07,193,0,1,101,1,0,114,0,0,203,223,0,"Nov",1369
"2636","WashingtonWizards","HoustonRockets",106,114,0,2016-11-07,220,0,0,86,0,0,97,0,0,174,209,0,"Nov",1369
"2637","CharlotteHornets","IndianaPacers",122,100,0,2016-11-07,222,1,0,99,1,1,111,0,0,194,205,0,"Nov",1369
"2638","ChicagoBulls","OrlandoMagic",112,80,0,2016-11-07,192,0,0,94,1,1,88,0,0,205,174,0,"Nov",1369
"2639","OklahomaCityThunder","MiamiHeat",97,85,0,2016-11-07,182,1,1,112,0,0,87,0,0,204,183,0,"Nov",1369
"2640","LosAngelesClippers","DetroitPistons",114,82,0,2016-11-07,196,1,0,116,1,1,103,0,0,208,189,0,"Nov",1369
"2641","GoldenStateWarriors","NewOrleansPelicans",116,106,0,2016-11-07,222,0,0,97,0,1,111,0,1,214,223,0,"Nov",1369
"2642","ClevelandCavaliers","AtlantaHawks",106,110,0,2016-11-08,216,1,0,102,1,1,112,0,0,203,209,0,"Nov",1375.5
"2643","BrooklynNets","MinnesotaTimberwolves",119,110,0,2016-11-08,229,0,1,95,0,0,92,0,0,194,204,0,"Nov",1375.5
"2644","MemphisGrizzlies","DenverNuggets",108,107,0,2016-11-08,215,0,1,94,1,0,123,0,0,194,230,0,"Nov",1375.5
"2645","PortlandTrailBlazers","PhoenixSuns",124,121,0,2016-11-08,245,1,0,100,0,0,108,0,0,194,227,0,"Nov",1375.5
"2646","LosAngelesLakers","DallasMavericks",97,109,0,2016-11-08,206,1,1,119,1,1,86,0,1,227,161,0,"Nov",1375.5
"2647","SacramentoKings","NewOrleansPelicans",102,94,0,2016-11-08,196,1,0,96,0,0,106,0,0,187,222,0,"Nov",1375.5
"2648","NewYorkKnicks","BrooklynNets",110,96,0,2016-11-09,206,0,1,109,1,1,119,0,0,223,229,0,"Nov",1384
"2649","WashingtonWizards","BostonCeltics",118,93,0,2016-11-09,211,0,1,106,0,1,107,0,0,220,230,0,"Nov",1384
"2650","CharlotteHornets","UtahJazz",104,98,0,2016-11-09,202,1,1,122,1,0,109,0,0,222,193,0,"Nov",1384
"2651","OrlandoMagic","MinnesotaTimberwolves",107,123,0,2016-11-09,230,0,0,80,0,0,110,0,0,192,229,0,"Nov",1384
"2652","IndianaPacers","PhiladelphiaErs",122,115,1,2016-11-09,237,0,0,100,0,1,84,0,0,222,193,0,"Nov",1384
"2653","AtlantaHawks","ChicagoBulls",115,107,0,2016-11-09,222,1,0,110,1,1,112,0,0,216,192,0,"Nov",1384
"2654","OklahomaCityThunder","TorontoRaptors",102,112,0,2016-11-09,214,1,1,97,0,1,91,0,0,182,187,0,"Nov",1384
"2655","PhoenixSuns","DetroitPistons",107,100,0,2016-11-09,207,0,0,121,0,0,82,0,0,245,196,0,"Nov",1384
"2656","SanAntonioSpurs","HoustonRockets",99,101,0,2016-11-09,200,0,1,92,1,0,114,0,0,208,220,0,"Nov",1384
"2657","LosAngelesClippers","PortlandTrailBlazers",111,80,0,2016-11-09,191,1,1,114,1,1,124,0,0,196,245,0,"Nov",1384
"2658","GoldenStateWarriors","DallasMavericks",116,95,0,2016-11-09,211,1,1,116,1,0,109,0,0,222,206,0,"Nov",1384
"2659","MilwaukeeBucks","NewOrleansPelicans",106,112,0,2016-11-10,218,0,0,75,0,0,94,1,0,161,196,1,"Nov",1391.5
"2660","MiamiHeat","ChicagoBulls",95,98,0,2016-11-10,193,0,0,85,0,0,107,0,0,182,222,0,"Nov",1391.5
"2661","DenverNuggets","GoldenStateWarriors",101,125,0,2016-11-10,226,0,0,107,1,1,116,0,0,215,211,0,"Nov",1391.5
"2662","SacramentoKings","LosAngelesLakers",91,101,0,2016-11-10,192,1,1,102,0,1,97,0,0,196,206,0,"Nov",1391.5
"2663","PhiladelphiaErs","IndianaPacers",109,105,1,2016-11-11,214,0,0,115,1,1,122,1,1,237,237,1,"Nov",1397.5
"2664","WashingtonWizards","ClevelandCavaliers",94,105,0,2016-11-11,199,1,1,118,0,1,106,0,0,211,216,0,"Nov",1397.5
"2665","CharlotteHornets","TorontoRaptors",111,113,0,2016-11-11,224,1,1,104,1,0,112,0,0,202,214,0,"Nov",1397.5
"2666","OrlandoMagic","UtahJazz",74,87,0,2016-11-11,161,0,1,107,0,0,98,0,0,230,202,0,"Nov",1397.5
"2667","BostonCeltics","NewYorkKnicks",115,87,0,2016-11-11,202,0,0,93,1,1,110,0,0,211,206,0,"Nov",1397.5
"2668","OklahomaCityThunder","LosAngelesClippers",108,110,0,2016-11-11,218,0,1,102,1,1,111,0,0,214,191,0,"Nov",1397.5
"2669","SanAntonioSpurs","DetroitPistons",96,86,0,2016-11-11,182,0,1,99,0,0,100,0,0,200,207,0,"Nov",1397.5
"2670","PortlandTrailBlazers","SacramentoKings",122,120,1,2016-11-11,242,0,0,80,0,1,91,0,0,191,192,0,"Nov",1397.5
"2671","NewOrleansPelicans","LosAngelesLakers",99,126,0,2016-11-12,225,1,0,112,1,0,101,0,0,218,192,0,"Nov",1407
"2672","IndianaPacers","BostonCeltics",99,105,0,2016-11-12,204,0,0,105,1,1,115,1,0,214,202,1,"Nov",1407
"2673","TorontoRaptors","NewYorkKnicks",118,107,0,2016-11-12,225,1,0,113,0,0,87,0,0,224,202,0,"Nov",1407
"2674","AtlantaHawks","PhiladelphiaErs",117,96,0,2016-11-12,213,1,1,115,1,1,109,0,1,222,214,0,"Nov",1407
"2675","ChicagoBulls","WashingtonWizards",106,95,0,2016-11-12,201,1,0,98,0,1,94,0,0,193,199,0,"Nov",1407
