"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosc_past_total","gosp_past_add.1","mth","daty_r"
"1366","OklahomaCityThunder","PhoenixSuns",124,103,0,2015-11-08,227,0,0,98,0,1,92,0,0,202,192,0,"Nov",96
"1367","PortlandTrailBlazers","DetroitPistons",103,120,0,2015-11-08,223,1,1,115,1,0,100,0,0,211,192,0,"Nov",96
"1368","IndianaPacers","OrlandoMagic",97,84,0,2015-11-09,181,0,0,97,1,0,105,0,0,198,202,0,"Nov",102
"1369","PhiladelphiaErs","ChicagoBulls",88,111,0,2015-11-09,199,0,1,97,0,1,93,0,1,202,195,0,"Nov",102
"1370","AtlantaHawks","MinnesotaTimberwolves",107,117,0,2015-11-09,224,1,1,114,1,0,102,0,1,213,195,0,"Nov",102
"1371","DenverNuggets","PortlandTrailBlazers",108,104,0,2015-11-09,212,0,0,104,0,1,103,0,0,223,223,0,"Nov",102
"1372","SacramentoKings","SanAntonioSpurs",88,106,0,2015-11-09,194,0,1,94,1,1,114,0,0,197,208,0,"Nov",102
"1373","GoldenStateWarriors","DetroitPistons",109,95,0,2015-11-09,204,1,0,103,1,0,120,0,0,197,223,0,"Nov",102
"1374","LosAngelesClippers","MemphisGrizzlies",94,92,0,2015-11-09,186,0,1,105,0,0,79,0,0,214,168,0,"Nov",102
"1375","ClevelandCavaliers","UtahJazz",118,114,0,2015-11-10,232,1,1,101,1,1,89,0,0,198,168,0,"Nov",109
"1376","WashingtonWizards","OklahomaCityThunder",101,125,0,2015-11-10,226,0,0,99,1,1,124,0,0,213,227,0,"Nov",109
"1377","MiamiHeat","LosAngelesLakers",101,88,0,2015-11-10,189,1,1,96,0,0,95,0,0,172,194,0,"Nov",109
"1378","TorontoRaptors","NewYorkKnicks",109,111,0,2015-11-10,220,0,0,76,1,1,99,0,0,172,194,0,"Nov",109
"1379","MilwaukeeBucks","BostonCeltics",83,99,0,2015-11-10,182,1,1,94,1,1,118,0,0,180,216,0,"Nov",109
"1380","MinnesotaTimberwolves","CharlotteHornets",95,104,0,2015-11-10,199,1,0,117,0,0,94,0,0,224,208,0,"Nov",109
"1381","NewOrleansPelicans","DallasMavericks",120,105,0,2015-11-10,225,0,0,98,1,1,107,0,0,205,205,0,"Nov",109
"1382","CharlotteHornets","NewYorkKnicks",95,93,0,2015-11-11,188,1,0,104,1,0,111,0,0,199,220,0,"Nov",118
"1383","OrlandoMagic","LosAngelesLakers",101,99,0,2015-11-11,200,0,0,84,0,0,88,0,0,181,189,0,"Nov",118
"1384","PhiladelphiaErs","TorontoRaptors",103,119,0,2015-11-11,222,0,1,88,0,1,109,0,0,199,220,0,"Nov",118
"1385","BostonCeltics","IndianaPacers",91,102,0,2015-11-11,193,1,0,99,1,1,97,0,0,182,181,0,"Nov",118
"1386","AtlantaHawks","NewOrleansPelicans",106,98,0,2015-11-11,204,0,1,107,1,1,120,0,0,224,225,0,"Nov",118
"1387","DallasMavericks","LosAngelesClippers",118,108,0,2015-11-11,226,0,0,105,1,1,94,0,0,225,186,0,"Nov",118
"1388","HoustonRockets","BrooklynNets",98,106,0,2015-11-11,204,1,0,109,0,0,86,0,0,214,180,0,"Nov",118
"1389","MemphisGrizzlies","GoldenStateWarriors",84,100,0,2015-11-11,184,0,0,92,1,1,109,0,0,186,204,0,"Nov",118
"1390","DenverNuggets","MilwaukeeBucks",103,102,0,2015-11-11,205,1,1,108,0,1,83,0,0,212,182,0,"Nov",118
