,gospodarz,gosc,daty,daty_fac,predykcja
173,OklahomaCityThunder,ChicagoBulls,747,380,221.571173389515
174,TorontoRaptors,ChicagoBulls,747,380,231.71623913602
175,PhoenixSuns,ChicagoBulls,747,380,213.2748697423
176,SacramentoKings,ChicagoBulls,747,380,220.743804251112
177,HoustonRockets,ChicagoBulls,747,380,226.850961285027
178,MilwaukeeBucks,ChicagoBulls,747,380,210.373768900363
179,OrlandoMagic,ChicagoBulls,747,380,197.138967985961
180,BostonCeltics,ChicagoBulls,747,380,208.836917448421
181,DetroitPistons,UtahJazz,747,380,186.687571305392
182,ClevelandCavaliers,UtahJazz,747,380,210.085723129001
183,NewOrleansPelicans,UtahJazz,747,380,213.11128336962
184,WashingtonWizards,UtahJazz,747,380,199.489183810131
185,PhiladelphiaErs,UtahJazz,747,380,189.604204892922
186,ChicagoBulls,UtahJazz,747,380,185.125440323015
187,UtahJazz,UtahJazz,747,380,195.130664119904
188,CharlotteHornets,UtahJazz,747,380,230.007665574054
189,IndianaPacers,UtahJazz,747,380,197.129372347454
190,DenverNuggets,UtahJazz,747,380,196.158471826425
191,NewYorkKnicks,UtahJazz,747,380,233.514940443796
192,SanAntonioSpurs,UtahJazz,747,380,214.433933870521
193,DallasMavericks,UtahJazz,747,380,224.795711345418
194,LosAngelesClippers,UtahJazz,747,380,192.683885813149
195,MinnesotaTimberwolves,UtahJazz,747,380,195.503497877963
196,MemphisGrizzlies,UtahJazz,747,380,174.086641017725
197,AtlantaHawks,UtahJazz,747,380,211.325793830496
198,BrooklynNets,UtahJazz,747,380,199.085723129
199,GoldenStateWarriors,UtahJazz,747,380,201.464704772143
200,LosAngelesLakers,UtahJazz,747,380,198.704775473639
201,PortlandTrailBlazers,UtahJazz,747,380,210.411126255185
202,MiamiHeat,UtahJazz,747,380,195.97325723756
203,OklahomaCityThunder,UtahJazz,747,380,215.801020202941
204,TorontoRaptors,UtahJazz,747,380,202.772903730082
205,PhoenixSuns,UtahJazz,747,380,197.141661485154
206,SacramentoKings,UtahJazz,747,380,216.525558158843
207,HoustonRockets,UtahJazz,747,380,216.693981629384
208,MilwaukeeBucks,UtahJazz,747,380,197.778212587604
209,OrlandoMagic,UtahJazz,747,380,185.973257237561
210,BostonCeltics,UtahJazz,747,380,213.802003209053
211,DetroitPistons,CharlotteHornets,747,380,219.346734671026
212,ClevelandCavaliers,CharlotteHornets,747,380,218.469325213124
213,NewOrleansPelicans,CharlotteHornets,747,380,233.956741485857
214,WashingtonWizards,CharlotteHornets,747,380,222.906505814204
215,PhiladelphiaErs,CharlotteHornets,747,380,206.685801686218
216,ChicagoBulls,CharlotteHornets,747,380,217.163714525672
217,UtahJazz,CharlotteHornets,747,380,195.809278078792
218,CharlotteHornets,CharlotteHornets,747,380,198.989315822735
219,IndianaPacers,CharlotteHornets,747,380,202.203792467529
220,DenverNuggets,CharlotteHornets,747,380,207.229254511629
221,NewYorkKnicks,CharlotteHornets,747,380,220.894768034272
222,SanAntonioSpurs,CharlotteHornets,747,380,206.445141805589
223,DallasMavericks,CharlotteHornets,747,380,213.856859321684
224,LosAngelesClippers,CharlotteHornets,747,380,219.280178599823
225,MinnesotaTimberwolves,CharlotteHornets,747,380,214.677937637343
226,MemphisGrizzlies,CharlotteHornets,747,380,209.826974270538
227,AtlantaHawks,CharlotteHornets,747,380,191.704775473638
228,BrooklynNets,CharlotteHornets,747,380,216.248424692092
229,GoldenStateWarriors,CharlotteHornets,747,380,231.498424692093
230,LosAngelesLakers,CharlotteHornets,747,380,204.605581726008
231,PortlandTrailBlazers,CharlotteHornets,747,380,213.323827818277
232,MiamiHeat,CharlotteHornets,747,380,210.524855565524
233,OklahomaCityThunder,CharlotteHornets,747,380,215.445534591677
234,TorontoRaptors,CharlotteHornets,747,380,200.17007254758
235,PhoenixSuns,CharlotteHornets,747,380,224.772903730081
236,SacramentoKings,CharlotteHornets,747,380,227.171055553689
237,HoustonRockets,CharlotteHornets,747,380,223.260320002815
238,MilwaukeeBucks,CharlotteHornets,747,380,198.771763817714
239,OrlandoMagic,CharlotteHornets,747,380,226.701138038768
240,BostonCeltics,CharlotteHornets,747,380,199.662208498707
241,DetroitPistons,IndianaPacers,747,380,212.675971208771
242,ClevelandCavaliers,IndianaPacers,747,380,226.457500786266
243,NewOrleansPelicans,IndianaPacers,747,380,194.318518960753
244,WashingtonWizards,IndianaPacers,747,380,222.770249301319
245,PhiladelphiaErs,IndianaPacers,747,380,223.543450743633
246,ChicagoBulls,IndianaPacers,747,380,201.945809958294
247,UtahJazz,IndianaPacers,747,380,232.296694351527
248,CharlotteHornets,IndianaPacers,747,380,212.342375740474
