"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty","total","win_gosp","gosp_gosp","gosp_past_points","win_gosc","gosc_gosp","gosc_past_points","gosp_past_add","gosc_past_add","gosp_past_total","gosp_past_add.1"
"186","ClevelandCavaliers","TorontoRaptors",93,110,0,2014-11-22,203,0,0,78,1,1,124,0,0,169,0
"187","NewYorkKnicks","PhiladelphiaErs",91,83,0,2014-11-22,174,0,0,99,0,1,96,0,0,214,0
"188","HoustonRockets","DallasMavericks",95,92,0,2014-11-22,187,0,1,92,1,1,140,0,0,190,0
"189","MinnesotaTimberwolves","SacramentoKings",101,113,0,2014-11-22,214,0,1,92,1,1,103,0,0,213,0
"190","MilwaukeeBucks","WashingtonWizards",100,111,0,2014-11-22,211,0,0,82,1,1,91,0,0,206,0
"191","SanAntonioSpurs","BrooklynNets",99,87,0,2014-11-22,186,1,0,121,1,0,94,0,0,213,0
"192","UtahJazz","NewOrleansPelicans",94,106,0,2014-11-22,200,0,0,88,0,0,97,0,0,189,0
"193","MemphisGrizzlies","LosAngelesClippers",107,91,0,2014-11-23,198,1,1,117,1,0,110,0,0,217,0
"194","BostonCeltics","PortlandTrailBlazers",88,94,0,2014-11-23,182,0,0,100,1,1,105,0,0,217,0
"195","MiamiHeat","CharlotteHornets",94,93,0,2014-11-23,187,1,0,99,0,1,100,0,0,191,0
"196","OklahomaCityThunder","GoldenStateWarriors",86,91,0,2014-11-23,177,0,1,92,1,1,101,0,0,186,0
"197","LosAngelesLakers","DenverNuggets",94,101,1,2014-11-23,195,0,0,106,1,1,117,0,0,246,0
"198","CharlotteHornets","LosAngelesClippers",92,113,0,2014-11-24,205,0,0,93,0,0,91,0,0,187,0
"199","ClevelandCavaliers","OrlandoMagic",106,74,0,2014-11-24,180,0,1,93,0,1,92,0,0,203,0
"200","PhiladelphiaErs","PortlandTrailBlazers",104,114,0,2014-11-24,218,0,0,83,1,0,94,0,0,174,0
"201","TorontoRaptors","PhoenixSuns",104,100,0,2014-11-24,204,1,0,110,1,0,106,0,0,203,0
