"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty"
"284","WashingtonWizards","PhoenixSuns",109,106,0,2015-12-04
"285","DetroitPistons","MilwaukeeBucks",102,95,0,2015-12-04
"286","AtlantaHawks","LosAngelesLakers",100,87,0,2015-12-04
"287","DallasMavericks","HoustonRockets",96,100,0,2015-12-04
"288","NewOrleansPelicans","ClevelandCavaliers",114,108,1,2015-12-04
"289","PhiladelphiaErs","DenverNuggets",105,108,0,2015-12-05
"290","TorontoRaptors","GoldenStateWarriors",109,112,0,2015-12-05
"291","MiamiHeat","ClevelandCavaliers",99,84,0,2015-12-05
"292","ChicagoBulls","CharlotteHornets",96,102,0,2015-12-05
"293","HoustonRockets","SacramentoKings",120,113,0,2015-12-05
"294","MinnesotaTimberwolves","PortlandTrailBlazers",103,109,0,2015-12-05
"295","MilwaukeeBucks","NewYorkKnicks",106,91,0,2015-12-05
"296","SanAntonioSpurs","BostonCeltics",108,105,0,2015-12-05
"297","UtahJazz","IndianaPacers",122,119,1,2015-12-05
"298","LosAngelesClippers","OrlandoMagic",103,101,0,2015-12-05
"299","MemphisGrizzlies","PhoenixSuns",95,93,0,2015-12-06
"300","BrooklynNets","GoldenStateWarriors",98,114,0,2015-12-06
"301","DetroitPistons","LosAngelesLakers",111,91,0,2015-12-06
"302","WashingtonWizards","DallasMavericks",104,116,0,2015-12-06
"303","OklahomaCityThunder","SacramentoKings",98,95,0,2015-12-06
"304","CharlotteHornets","DetroitPistons",104,84,0,2015-12-07
"305","PhiladelphiaErs","SanAntonioSpurs",68,119,0,2015-12-07
"306","MiamiHeat","WashingtonWizards",103,114,0,2015-12-07
"307","NewYorkKnicks","DallasMavericks",97,104,0,2015-12-07
"308","TorontoRaptors","LosAngelesLakers",102,93,0,2015-12-07
"309","ChicagoBulls","PhoenixSuns",101,103,0,2015-12-07
"310","MilwaukeeBucks","PortlandTrailBlazers",90,88,0,2015-12-07
"311","MinnesotaTimberwolves","LosAngelesClippers",106,110,0,2015-12-07
"312","NewOrleansPelicans","BostonCeltics",93,111,0,2015-12-07
"313","ClevelandCavaliers","PortlandTrailBlazers",105,100,0,2015-12-08
"314","IndianaPacers","GoldenStateWarriors",123,131,0,2015-12-08
"315","BrooklynNets","HoustonRockets",110,105,0,2015-12-08
"316","MemphisGrizzlies","OklahomaCityThunder",88,125,0,2015-12-08
"317","DenverNuggets","OrlandoMagic",74,85,0,2015-12-08
"318","SacramentoKings","UtahJazz",114,106,0,2015-12-08
"319","BostonCeltics","ChicagoBulls",105,100,0,2015-12-09
"320","CharlotteHornets","MiamiHeat",99,81,0,2015-12-09
"321","WashingtonWizards","HoustonRockets",103,109,0,2015-12-09
"322","DetroitPistons","MemphisGrizzlies",92,93,0,2015-12-09
"323","TorontoRaptors","SanAntonioSpurs",97,94,0,2015-12-09
"324","MilwaukeeBucks","LosAngelesClippers",95,109,0,2015-12-09
"325","MinnesotaTimberwolves","LosAngelesLakers",123,122,1,2015-12-09
"326","PhoenixSuns","OrlandoMagic",107,104,0,2015-12-09
"327","UtahJazz","NewYorkKnicks",106,85,0,2015-12-09
"328","DallasMavericks","AtlantaHawks",95,98,0,2015-12-09
"329","BrooklynNets","PhiladelphiaErs",100,91,0,2015-12-10
"330","ChicagoBulls","LosAngelesClippers",83,80,0,2015-12-10
"331","OklahomaCityThunder","AtlantaHawks",107,94,0,2015-12-10
"332","SacramentoKings","NewYorkKnicks",99,97,0,2015-12-10
"333","IndianaPacers","MiamiHeat",96,83,0,2015-12-11
"334","OrlandoMagic","ClevelandCavaliers",76,111,0,2015-12-11
"335","PhiladelphiaErs","DetroitPistons",95,107,0,2015-12-11
"336","BostonCeltics","GoldenStateWarriors",119,124,2,2015-12-11
"337","TorontoRaptors","MilwaukeeBucks",90,83,0,2015-12-11
"338","MemphisGrizzlies","CharlotteHornets",99,123,0,2015-12-11
"339","NewOrleansPelicans","WashingtonWizards",107,105,0,2015-12-11
"340","DenverNuggets","MinnesotaTimberwolves",111,108,1,2015-12-11
"341","UtahJazz","OklahomaCityThunder",90,94,0,2015-12-11
"342","SanAntonioSpurs","LosAngelesLakers",109,87,0,2015-12-11
"343","PhoenixSuns","PortlandTrailBlazers",96,106,0,2015-12-11
"344","BrooklynNets","LosAngelesClippers",100,105,0,2015-12-12
"345","CharlotteHornets","BostonCeltics",93,98,0,2015-12-12
"346","DetroitPistons","IndianaPacers",118,96,0,2015-12-12
"347","AtlantaHawks","SanAntonioSpurs",78,103,0,2015-12-12
"348","ChicagoBulls","NewOrleansPelicans",98,94,0,2015-12-12
"349","HoustonRockets","LosAngelesLakers",126,97,0,2015-12-12
"350","DallasMavericks","WashingtonWizards",111,114,0,2015-12-12
"351","MilwaukeeBucks","GoldenStateWarriors",108,95,0,2015-12-12
"352","PortlandTrailBlazers","NewYorkKnicks",110,112,0,2015-12-12
"353","PhoenixSuns","MinnesotaTimberwolves",108,101,0,2015-12-13
"354","MiamiHeat","MemphisGrizzlies",100,97,0,2015-12-13
"355","TorontoRaptors","PhiladelphiaErs",96,76,0,2015-12-13
"356","OklahomaCityThunder","UtahJazz",104,98,1,2015-12-13
"357","IndianaPacers","TorontoRaptors",106,90,0,2015-12-14
"358","BrooklynNets","OrlandoMagic",82,105,0,2015-12-14
"359","DetroitPistons","LosAngelesClippers",103,105,1,2015-12-14
"360","AtlantaHawks","MiamiHeat",88,100,0,2015-12-14
"361","ChicagoBulls","PhiladelphiaErs",115,96,0,2015-12-14
