"","gospodarz","gosc","gospodarz_res","gosc_res","dogrywka","daty"
"793","PortlandTrailBlazers","HoustonRockets",116,103,0,2016-02-10
"794","IndianaPacers","CharlotteHornets",95,117,0,2016-02-10
"795","OrlandoMagic","SanAntonioSpurs",96,98,0,2016-02-10
"796","PhiladelphiaErs","SacramentoKings",110,114,0,2016-02-10
"797","BostonCeltics","LosAngelesClippers",139,134,1,2016-02-10
"798","BrooklynNets","MemphisGrizzlies",90,109,0,2016-02-10
"799","DetroitPistons","DenverNuggets",92,103,0,2016-02-10
"800","MilwaukeeBucks","WashingtonWizards",99,92,0,2016-02-11
"801","OklahomaCityThunder","NewOrleansPelicans",121,95,0,2016-02-11
"802","ClevelandCavaliers","ChicagoBulls",106,95,0,2016-02-18
"803","LosAngelesClippers","SanAntonioSpurs",105,86,0,2016-02-18
"804","WashingtonWizards","UtahJazz",103,89,0,2016-02-18
"805","OrlandoMagic","DallasMavericks",110,104,1,2016-02-19
"806","WashingtonWizards","DetroitPistons",98,86,0,2016-02-19
"807","BrooklynNets","NewYorkKnicks",109,98,0,2016-02-19
"808","AtlantaHawks","MiamiHeat",111,115,0,2016-02-19
"809","ChicagoBulls","TorontoRaptors",116,106,0,2016-02-19
"810","MemphisGrizzlies","MinnesotaTimberwolves",109,104,0,2016-02-19
"811","NewOrleansPelicans","PhiladelphiaErs",121,114,0,2016-02-19
"812","OklahomaCityThunder","IndianaPacers",98,101,0,2016-02-19
"813","MilwaukeeBucks","CharlotteHornets",95,98,0,2016-02-19
"814","PhoenixSuns","HoustonRockets",100,116,0,2016-02-19
"815","PortlandTrailBlazers","GoldenStateWarriors",137,105,0,2016-02-19
"816","SacramentoKings","DenverNuggets",116,110,0,2016-02-19
"817","UtahJazz","BostonCeltics",111,93,0,2016-02-19
"818","LosAngelesLakers","SanAntonioSpurs",113,119,0,2016-02-19
"819","AtlantaHawks","MilwaukeeBucks",109,117,2,2016-02-20
"820","MiamiHeat","WashingtonWizards",114,94,0,2016-02-20
"821","MinnesotaTimberwolves","NewYorkKnicks",95,103,0,2016-02-20
"822","LosAngelesClippers","GoldenStateWarriors",112,115,0,2016-02-20
"823","DetroitPistons","NewOrleansPelicans",106,111,0,2016-02-21
"824","OklahomaCityThunder","ClevelandCavaliers",92,115,0,2016-02-21
"825","DenverNuggets","BostonCeltics",101,121,0,2016-02-21
"826","PhoenixSuns","SanAntonioSpurs",111,118,0,2016-02-21
"827","BrooklynNets","CharlotteHornets",96,104,0,2016-02-21
"828","OrlandoMagic","IndianaPacers",102,105,0,2016-02-21
"829","TorontoRaptors","MemphisGrizzlies",98,85,0,2016-02-21
"830","DallasMavericks","PhiladelphiaErs",129,103,0,2016-02-21
"831","ChicagoBulls","LosAngelesLakers",126,115,0,2016-02-21
"832","PortlandTrailBlazers","UtahJazz",115,111,0,2016-02-21
"833","ClevelandCavaliers","DetroitPistons",88,96,0,2016-02-22
"834","MiamiHeat","IndianaPacers",101,93,1,2016-02-22
"835","NewYorkKnicks","TorontoRaptors",95,122,0,2016-02-22
"836","AtlantaHawks","GoldenStateWarriors",92,102,0,2016-02-22
"837","MilwaukeeBucks","LosAngelesLakers",108,101,0,2016-02-22
"838","MinnesotaTimberwolves","BostonCeltics",124,122,0,2016-02-22
"839","LosAngelesClippers","PhoenixSuns",124,84,0,2016-02-22
"840","PhiladelphiaErs","OrlandoMagic",115,124,0,2016-02-23
"841","WashingtonWizards","NewOrleansPelicans",109,89,0,2016-02-23
"842","DenverNuggets","SacramentoKings",110,114,0,2016-02-23
"843","UtahJazz","HoustonRockets",117,114,1,2016-02-23
"844","PortlandTrailBlazers","BrooklynNets",112,104,0,2016-02-23
"845","ClevelandCavaliers","CharlotteHornets",114,103,0,2016-02-24
"846","IndianaPacers","NewYorkKnicks",108,105,0,2016-02-24
"847","DetroitPistons","PhiladelphiaErs",111,91,0,2016-02-24
"848","MiamiHeat","GoldenStateWarriors",112,118,0,2016-02-24
"849","TorontoRaptors","MinnesotaTimberwolves",114,105,0,2016-02-24
"850","ChicagoBulls","WashingtonWizards",109,104,0,2016-02-24
"851","MemphisGrizzlies","LosAngelesLakers",128,119,0,2016-02-24
"852","DallasMavericks","OklahomaCityThunder",103,116,0,2016-02-24
"853","LosAngelesClippers","DenverNuggets",81,87,0,2016-02-24
"854","SacramentoKings","SanAntonioSpurs",92,108,0,2016-02-24
"855","OrlandoMagic","GoldenStateWarriors",114,130,0,2016-02-25
"856","BostonCeltics","MilwaukeeBucks",112,107,0,2016-02-25
"857","NewOrleansPelicans","OklahomaCityThunder",123,119,0,2016-02-25
"858","PhoenixSuns","BrooklynNets",106,116,0,2016-02-25
"859","PortlandTrailBlazers","HoustonRockets",105,119,0,2016-02-25
"860","UtahJazz","SanAntonioSpurs",78,96,0,2016-02-25
"861","IndianaPacers","CharlotteHornets",95,96,0,2016-02-26
"862","PhiladelphiaErs","WashingtonWizards",94,103,0,2016-02-26
"863","NewYorkKnicks","OrlandoMagic",108,95,0,2016-02-26
"864","TorontoRaptors","ClevelandCavaliers",99,97,0,2016-02-26
"865","AtlantaHawks","ChicagoBulls",103,88,0,2016-02-26
"866","DallasMavericks","DenverNuggets",122,116,1,2016-02-26
"867","SacramentoKings","LosAngelesClippers",107,117,0,2016-02-26
"868","LosAngelesLakers","MemphisGrizzlies",95,112,0,2016-02-26
"869","BostonCeltics","MiamiHeat",101,89,0,2016-02-27
"870","NewOrleansPelicans","MinnesotaTimberwolves",110,112,0,2016-02-27
"871","ChicagoBulls","PortlandTrailBlazers",95,103,0,2016-02-27
"872","HoustonRockets","SanAntonioSpurs",94,104,0,2016-02-27
"873","MilwaukeeBucks","DetroitPistons",91,102,0,2016-02-27
"874","OklahomaCityThunder","GoldenStateWarriors",118,121,1,2016-02-27
"875","PhoenixSuns","MemphisGrizzlies",111,106,0,2016-02-27
"876","UtahJazz","BrooklynNets",96,98,0,2016-02-27
"877","WashingtonWizards","ClevelandCavaliers",113,99,0,2016-02-28
"878","AtlantaHawks","CharlotteHornets",87,76,0,2016-02-28
"879","DetroitPistons","TorontoRaptors",114,101,0,2016-02-28
"880","IndianaPacers","PortlandTrailBlazers",102,111,0,2016-02-28
"881","OrlandoMagic","PhiladelphiaErs",130,116,0,2016-02-28
"882","DallasMavericks","MinnesotaTimberwolves",128,101,0,2016-02-28
"883","NewYorkKnicks","MiamiHeat",81,98,0,2016-02-28
"884","ClevelandCavaliers","IndianaPacers",100,96,0,2016-02-29
"885","WashingtonWizards","PhiladelphiaErs",116,108,0,2016-02-29
"886","BostonCeltics","UtahJazz",100,95,0,2016-02-29
"887","MilwaukeeBucks","HoustonRockets",128,121,0,2016-02-29
"888","DenverNuggets","MemphisGrizzlies",96,103,0,2016-02-29
"889","SacramentoKings","OklahomaCityThunder",116,131,0,2016-02-29
"890","LosAngelesClippers","BrooklynNets",105,95,0,2016-02-29
"891","CharlotteHornets","PhoenixSuns",126,92,0,2016-03-01
"892","MiamiHeat","ChicagoBulls",129,111,0,2016-03-01
"893","NewYorkKnicks","PortlandTrailBlazers",85,104,0,2016-03-01
"894","DallasMavericks","OrlandoMagic",121,108,0,2016-03-01
"895","GoldenStateWarriors","AtlantaHawks",109,105,1,2016-03-01
"896","LosAngelesLakers","BrooklynNets",107,101,0,2016-03-01
"897","OrlandoMagic","ChicagoBulls",102,89,0,2016-03-02
"898","PhiladelphiaErs","CharlotteHornets",99,119,0,2016-03-02
"899","BostonCeltics","PortlandTrailBlazers",116,93,0,2016-03-02
"900","TorontoRaptors","UtahJazz",104,94,0,2016-03-02
"901","HoustonRockets","NewOrleansPelicans",100,95,0,2016-03-02
"902","MemphisGrizzlies","SacramentoKings",104,98,0,2016-03-02
"903","MilwaukeeBucks","IndianaPacers",99,104,0,2016-03-02
"904","MinnesotaTimberwolves","WashingtonWizards",98,104,0,2016-03-02
"905","SanAntonioSpurs","DetroitPistons",97,81,0,2016-03-02
"906","DenverNuggets","LosAngelesLakers",117,107,0,2016-03-02
"907","LosAngelesClippers","OklahomaCityThunder",103,98,0,2016-03-02
"908","MiamiHeat","PhoenixSuns",108,92,0,2016-03-03
"909","NewOrleansPelicans","SanAntonioSpurs",86,94,0,2016-03-03
"910","DallasMavericks","SacramentoKings",101,104,0,2016-03-03
"911","GoldenStateWarriors","OklahomaCityThunder",121,106,0,2016-03-03
"912","CharlotteHornets","IndianaPacers",108,101,0,2016-03-04
"913","OrlandoMagic","PhoenixSuns",84,102,0,2016-03-04
"914","PhiladelphiaErs","MiamiHeat",102,112,0,2016-03-04
"915","BostonCeltics","NewYorkKnicks",105,104,0,2016-03-04
"916","TorontoRaptors","PortlandTrailBlazers",117,115,0,2016-03-04
"917","ClevelandCavaliers","WashingtonWizards",108,83,0,2016-03-04
"918","MemphisGrizzlies","UtahJazz",94,88,0,2016-03-04
"919","MilwaukeeBucks","MinnesotaTimberwolves",116,101,0,2016-03-04
"920","DenverNuggets","BrooklynNets",120,121,1,2016-03-04
"921","LosAngelesLakers","AtlantaHawks",77,106,0,2016-03-04
"922","ClevelandCavaliers","BostonCeltics",120,103,0,2016-03-05
"923","NewYorkKnicks","DetroitPistons",102,89,0,2016-03-05
"924","WashingtonWizards","IndianaPacers",99,100,0,2016-03-05
"925","NewOrleansPelicans","UtahJazz",94,106,0,2016-03-05
"926","MinnesotaTimberwolves","BrooklynNets",132,118,0,2016-03-05
"927","ChicagoBulls","HoustonRockets",108,100,0,2016-03-05
"928","SanAntonioSpurs","SacramentoKings",104,94,0,2016-03-05
"929","LosAngelesClippers","AtlantaHawks",97,107,0,2016-03-05
"930","MilwaukeeBucks","OklahomaCityThunder",96,104,0,2016-03-06
"931","LosAngelesLakers","GoldenStateWarriors",112,95,0,2016-03-06
"932","MemphisGrizzlies","PhoenixSuns",100,109,0,2016-03-06
"933","DenverNuggets","DallasMavericks",116,114,1,2016-03-06
"934","DetroitPistons","PortlandTrailBlazers",123,103,0,2016-03-06
"935","MiamiHeat","PhiladelphiaErs",103,98,0,2016-03-06
"936","TorontoRaptors","HoustonRockets",107,113,0,2016-03-06
"937","CharlotteHornets","MinnesotaTimberwolves",108,103,0,2016-03-07
"938","ClevelandCavaliers","MemphisGrizzlies",103,106,0,2016-03-07
"939","IndianaPacers","SanAntonioSpurs",99,91,0,2016-03-07
"940","ChicagoBulls","MilwaukeeBucks",100,90,0,2016-03-07
"941","NewOrleansPelicans","SacramentoKings",115,112,0,2016-03-07
"942","DallasMavericks","LosAngelesClippers",90,109,0,2016-03-07
"943","GoldenStateWarriors","OrlandoMagic",119,113,0,2016-03-07
"944","TorontoRaptors","BrooklynNets",104,99,0,2016-03-08
"945","MinnesotaTimberwolves","SanAntonioSpurs",91,116,0,2016-03-08
"946","DenverNuggets","NewYorkKnicks",110,94,0,2016-03-08
"947","UtahJazz","AtlantaHawks",84,91,0,2016-03-08
"948","PortlandTrailBlazers","WashingtonWizards",116,109,1,2016-03-08
"949","LosAngelesLakers","OrlandoMagic",107,98,0,2016-03-08
"950","CharlotteHornets","NewOrleansPelicans",122,113,0,2016-03-09
"951","PhiladelphiaErs","HoustonRockets",104,118,0,2016-03-09
"952","MilwaukeeBucks","MiamiHeat",114,108,0,2016-03-09
"953","BostonCeltics","MemphisGrizzlies",116,96,0,2016-03-09
"954","DallasMavericks","DetroitPistons",96,102,0,2016-03-09
"955","OklahomaCityThunder","LosAngelesClippers",120,108,0,2016-03-09
"956","PhoenixSuns","NewYorkKnicks",97,128,0,2016-03-09
"957","SacramentoKings","ClevelandCavaliers",111,120,0,2016-03-09
"958","GoldenStateWarriors","UtahJazz",115,94,0,2016-03-09
"959","TorontoRaptors","AtlantaHawks",104,96,0,2016-03-10
"960","SanAntonioSpurs","ChicagoBulls",109,101,0,2016-03-10
"961","DenverNuggets","PhoenixSuns",116,98,0,2016-03-10
"962","LosAngelesLakers","ClevelandCavaliers",108,120,0,2016-03-10
"963","CharlotteHornets","DetroitPistons",118,103,0,2016-03-11
"964","PhiladelphiaErs","BrooklynNets",95,89,0,2016-03-11
"965","BostonCeltics","HoustonRockets",98,102,0,2016-03-11
"966","ChicagoBulls","MiamiHeat",96,118,0,2016-03-11
"967","MemphisGrizzlies","NewOrleansPelicans",121,114,1,2016-03-11
"968","OklahomaCityThunder","MinnesotaTimberwolves",96,99,0,2016-03-11
"969","UtahJazz","WashingtonWizards",114,93,0,2016-03-11
"970","SacramentoKings","OrlandoMagic",100,107,0,2016-03-11
"971","GoldenStateWarriors","PortlandTrailBlazers",128,112,0,2016-03-11
"972","LosAngelesClippers","NewYorkKnicks",101,94,0,2016-03-11
"973","DallasMavericks","IndianaPacers",105,112,0,2016-03-12
"974","CharlotteHornets","HoustonRockets",125,109,0,2016-03-12
"975","PhiladelphiaErs","DetroitPistons",111,125,0,2016-03-12
"976","TorontoRaptors","MiamiHeat",112,104,1,2016-03-12
"977","AtlantaHawks","MemphisGrizzlies",95,83,0,2016-03-12
"978","MilwaukeeBucks","NewOrleansPelicans",103,92,0,2016-03-12
"979","SanAntonioSpurs","OklahomaCityThunder",93,85,0,2016-03-12
"980","DenverNuggets","WashingtonWizards",116,100,0,2016-03-12
"981","GoldenStateWarriors","PhoenixSuns",123,116,0,2016-03-12
"982","PortlandTrailBlazers","OrlandoMagic",121,84,0,2016-03-12
"983","LosAngelesClippers","ClevelandCavaliers",90,114,0,2016-03-13
"984","AtlantaHawks","IndianaPacers",104,75,0,2016-03-13
"985","BrooklynNets","MilwaukeeBucks",100,109,0,2016-03-13
"986","SacramentoKings","UtahJazz",99,108,0,2016-03-13
"987","LosAngelesLakers","NewYorkKnicks",87,90,0,2016-03-13
"988","CharlotteHornets","DallasMavericks",96,107,0,2016-03-14
"989","WashingtonWizards","DetroitPistons",124,81,0,2016-03-14
"990","MiamiHeat","DenverNuggets",124,119,0,2016-03-14
"991","TorontoRaptors","ChicagoBulls",107,109,0,2016-03-14
"992","HoustonRockets","MemphisGrizzlies",130,81,0,2016-03-14
"993","OklahomaCityThunder","PortlandTrailBlazers",128,94,0,2016-03-14
"994","UtahJazz","ClevelandCavaliers",94,85,0,2016-03-14
"995","PhoenixSuns","MinnesotaTimberwolves",107,104,0,2016-03-14
"996","GoldenStateWarriors","NewOrleansPelicans",125,107,0,2016-03-14
"997","IndianaPacers","BostonCeltics",103,98,0,2016-03-15
"998","OrlandoMagic","DenverNuggets",116,110,0,2016-03-15
"999","BrooklynNets","PhiladelphiaErs",131,114,0,2016-03-15
"1000","MilwaukeeBucks","TorontoRaptors",89,107,0,2016-03-15
"1001","SanAntonioSpurs","LosAngelesClippers",108,87,0,2016-03-15
"1002","LosAngelesLakers","SacramentoKings",98,106,0,2016-03-15
"1003","BostonCeltics","OklahomaCityThunder",109,130,0,2016-03-16
"1004","CharlotteHornets","OrlandoMagic",107,99,0,2016-03-16
"1005","ClevelandCavaliers","DallasMavericks",99,98,0,2016-03-16
"1006","WashingtonWizards","ChicagoBulls",117,96,0,2016-03-16
"1007","DetroitPistons","AtlantaHawks",114,118,0,2016-03-16
"1008","MemphisGrizzlies","MinnesotaTimberwolves",108,114,0,2016-03-16
"1009","HoustonRockets","LosAngelesClippers",106,122,0,2016-03-16
"1010","SacramentoKings","NewOrleansPelicans",108,123,0,2016-03-16
"1011","GoldenStateWarriors","NewYorkKnicks",121,85,0,2016-03-16
"1012","IndianaPacers","TorontoRaptors",94,101,1,2016-03-17
"1013","PhiladelphiaErs","WashingtonWizards",94,99,0,2016-03-17
"1014","MiamiHeat","CharlotteHornets",106,109,0,2016-03-17
"1015","AtlantaHawks","DenverNuggets",116,98,0,2016-03-17
"1016","ChicagoBulls","BrooklynNets",118,102,0,2016-03-17
"1017","MilwaukeeBucks","MemphisGrizzlies",96,86,0,2016-03-17
"1018","SanAntonioSpurs","PortlandTrailBlazers",118,110,0,2016-03-17
"1019","UtahJazz","PhoenixSuns",103,69,0,2016-03-17
"1020","OrlandoMagic","ClevelandCavaliers",103,109,0,2016-03-18
"1021","PhiladelphiaErs","OklahomaCityThunder",97,111,0,2016-03-18
"1022","DetroitPistons","SacramentoKings",115,108,0,2016-03-18
"1023","TorontoRaptors","BostonCeltics",105,91,0,2016-03-18
"1024","HoustonRockets","MinnesotaTimberwolves",116,111,0,2016-03-18
"1025","NewOrleansPelicans","PortlandTrailBlazers",112,117,0,2016-03-18
"1026","DallasMavericks","GoldenStateWarriors",112,130,0,2016-03-18
"1027","LosAngelesLakers","PhoenixSuns",90,95,0,2016-03-18
"1028","CharlotteHornets","DenverNuggets",93,101,0,2016-03-19
"1029","DetroitPistons","BrooklynNets",115,103,0,2016-03-19
"1030","IndianaPacers","OklahomaCityThunder",111,115,0,2016-03-19
"1031","WashingtonWizards","NewYorkKnicks",99,89,0,2016-03-19
"1032","AtlantaHawks","HoustonRockets",109,97,0,2016-03-19
"1033","MiamiHeat","ClevelandCavaliers",122,101,0,2016-03-19
"1034","ChicagoBulls","UtahJazz",92,85,0,2016-03-19
"1035","MemphisGrizzlies","LosAngelesClippers",113,102,0,2016-03-19
"1036","SanAntonioSpurs","GoldenStateWarriors",87,79,0,2016-03-19
"1037","DallasMavericks","PortlandTrailBlazers",132,120,1,2016-03-20
"1038","TorontoRaptors","OrlandoMagic",105,100,0,2016-03-20
"1039","PhiladelphiaErs","BostonCeltics",105,120,0,2016-03-20
"1040","NewOrleansPelicans","LosAngelesClippers",109,105,0,2016-03-20
"1041","MilwaukeeBucks","UtahJazz",85,94,0,2016-03-20
"1042","NewYorkKnicks","SacramentoKings",80,88,0,2016-03-20
"1043","PhoenixSuns","MemphisGrizzlies",97,103,0,2016-03-21
"1044","CharlotteHornets","SanAntonioSpurs",91,88,0,2016-03-21
"1045","ClevelandCavaliers","DenverNuggets",124,91,0,2016-03-21
"1046","IndianaPacers","PhiladelphiaErs",91,75,0,2016-03-21
"1047","BostonCeltics","OrlandoMagic",107,96,0,2016-03-21
"1048","DetroitPistons","MilwaukeeBucks",92,91,0,2016-03-21
"1049","AtlantaHawks","WashingtonWizards",102,117,0,2016-03-21
"1050","ChicagoBulls","SacramentoKings",109,102,0,2016-03-21
"1051","MinnesotaTimberwolves","GoldenStateWarriors",104,109,0,2016-03-21
"1052","BrooklynNets","CharlotteHornets",100,105,0,2016-03-22
"1053","NewOrleansPelicans","MiamiHeat",99,113,0,2016-03-22
"1054","OklahomaCityThunder","HoustonRockets",111,107,0,2016-03-22
"1055","LosAngelesLakers","MemphisGrizzlies",107,100,0,2016-03-22
"1056","WashingtonWizards","AtlantaHawks",101,122,0,2016-03-23
"1057","BostonCeltics","TorontoRaptors",91,79,0,2016-03-23
"1058","DetroitPistons","OrlandoMagic",118,102,0,2016-03-23
"1059","ClevelandCavaliers","MilwaukeeBucks",113,104,0,2016-03-23
"1060","ChicagoBulls","NewYorkKnicks",107,115,0,2016-03-23
"1061","HoustonRockets","UtahJazz",87,89,0,2016-03-23
"1062","MinnesotaTimberwolves","SacramentoKings",113,104,0,2016-03-23
"1063","SanAntonioSpurs","MiamiHeat",112,88,0,2016-03-23
"1064","DenverNuggets","PhiladelphiaErs",104,103,0,2016-03-23
"1065","PhoenixSuns","LosAngelesLakers",119,107,0,2016-03-23
"1066","GoldenStateWarriors","LosAngelesClippers",114,98,0,2016-03-23
"1067","PortlandTrailBlazers","DallasMavericks",109,103,0,2016-03-23
"1068","IndianaPacers","NewOrleansPelicans",92,84,0,2016-03-24
"1069","BrooklynNets","ClevelandCavaliers",104,95,0,2016-03-24
"1070","NewYorkKnicks","ChicagoBulls",106,94,0,2016-03-24
"1071","OklahomaCityThunder","UtahJazz",113,91,0,2016-03-24
"1072","LosAngelesClippers","PortlandTrailBlazers",96,94,0,2016-03-24
"1073","WashingtonWizards","MinnesotaTimberwolves",129,132,2,2016-03-25
"1074","DetroitPistons","CharlotteHornets",112,105,0,2016-03-25
"1075","MiamiHeat","OrlandoMagic",108,97,0,2016-03-25
"1076","AtlantaHawks","MilwaukeeBucks",101,90,0,2016-03-25
"1077","HoustonRockets","TorontoRaptors",112,109,0,2016-03-25
"1078","SanAntonioSpurs","MemphisGrizzlies",110,104,0,2016-03-25
"1079","SacramentoKings","PhoenixSuns",116,94,0,2016-03-25
"1080","GoldenStateWarriors","DallasMavericks",128,120,0,2016-03-25
"1081","LosAngelesLakers","DenverNuggets",105,116,0,2016-03-25
"1082","BrooklynNets","IndianaPacers",120,110,0,2016-03-26
"1083","OrlandoMagic","ChicagoBulls",111,89,0,2016-03-26
"1084","NewOrleansPelicans","TorontoRaptors",91,115,0,2016-03-26
"1085","DetroitPistons","AtlantaHawks",95,112,0,2016-03-26
"1086","NewYorkKnicks","ClevelandCavaliers",93,107,0,2016-03-26
"1087","MinnesotaTimberwolves","UtahJazz",84,93,0,2016-03-26
"1088","OklahomaCityThunder","SanAntonioSpurs",111,92,0,2016-03-26
"1089","MilwaukeeBucks","CharlotteHornets",91,115,0,2016-03-26
"1090","PhoenixSuns","BostonCeltics",99,102,0,2016-03-26
"1091","PortlandTrailBlazers","PhiladelphiaErs",108,105,0,2016-03-26
"1092","LosAngelesClippers","DenverNuggets",105,90,0,2016-03-27
"1093","IndianaPacers","HoustonRockets",104,101,0,2016-03-27
"1094","SacramentoKings","DallasMavericks",133,111,0,2016-03-27
"1095","GoldenStateWarriors","PhiladelphiaErs",117,105,0,2016-03-27
"1096","LosAngelesLakers","WashingtonWizards",88,101,0,2016-03-27
"1097","MiamiHeat","BrooklynNets",110,99,0,2016-03-28
"1098","TorontoRaptors","OklahomaCityThunder",100,119,0,2016-03-28
"1099","ChicagoBulls","AtlantaHawks",100,102,0,2016-03-28
"1100","MemphisGrizzlies","SanAntonioSpurs",87,101,0,2016-03-28
"1101","MinnesotaTimberwolves","PhoenixSuns",121,116,0,2016-03-28
"1102","NewOrleansPelicans","NewYorkKnicks",99,91,0,2016-03-28
"1103","DenverNuggets","DallasMavericks",88,97,0,2016-03-28
"1104","UtahJazz","LosAngelesLakers",123,75,0,2016-03-28
"1105","PortlandTrailBlazers","SacramentoKings",105,93,0,2016-03-28
"1106","LosAngelesClippers","BostonCeltics",114,90,0,2016-03-28
"1107","IndianaPacers","ChicagoBulls",96,98,0,2016-03-29
"1108","OrlandoMagic","BrooklynNets",139,105,0,2016-03-29
"1109","PhiladelphiaErs","CharlotteHornets",85,100,0,2016-03-29
"1110","DetroitPistons","OklahomaCityThunder",88,82,0,2016-03-29
"1111","ClevelandCavaliers","HoustonRockets",100,106,0,2016-03-29
"1112","GoldenStateWarriors","WashingtonWizards",102,94,0,2016-03-29
"1113","TorontoRaptors","AtlantaHawks",105,97,0,2016-03-30
"1114","MemphisGrizzlies","DenverNuggets",105,109,0,2016-03-30
"1115","MilwaukeeBucks","PhoenixSuns",105,94,0,2016-03-30
"1116","MinnesotaTimberwolves","LosAngelesClippers",79,99,0,2016-03-30
"1117","DallasMavericks","NewYorkKnicks",91,89,0,2016-03-30
"1118","SanAntonioSpurs","NewOrleansPelicans",100,92,0,2016-03-30
"1119","UtahJazz","GoldenStateWarriors",96,103,1,2016-03-30
"1120","SacramentoKings","WashingtonWizards",120,111,0,2016-03-30
"1121","LosAngelesLakers","MiamiHeat",102,100,1,2016-03-30
"1122","ClevelandCavaliers","BrooklynNets",107,87,0,2016-03-31
"1123","IndianaPacers","OrlandoMagic",94,114,0,2016-03-31
"1124","HoustonRockets","ChicagoBulls",100,103,0,2016-03-31
"1125","NewOrleansPelicans","DenverNuggets",101,95,0,2016-03-31
"1126","OklahomaCityThunder","LosAngelesClippers",119,117,0,2016-03-31
"1127","PortlandTrailBlazers","BostonCeltics",116,109,0,2016-03-31
"1128","CharlotteHornets","PhiladelphiaErs",100,91,0,2016-04-01
"1129","DetroitPistons","DallasMavericks",89,98,0,2016-04-01
"1130","NewYorkKnicks","BrooklynNets",105,91,0,2016-04-01
"1131","AtlantaHawks","ClevelandCavaliers",108,110,1,2016-04-01
"1132","MemphisGrizzlies","TorontoRaptors",95,99,0,2016-04-01
"1133","MilwaukeeBucks","OrlandoMagic",113,110,0,2016-04-01
"1134","UtahJazz","MinnesotaTimberwolves",98,85,0,2016-04-01
"1135","SacramentoKings","MiamiHeat",106,112,0,2016-04-01
"1136","GoldenStateWarriors","BostonCeltics",106,109,0,2016-04-01
"1137","PhoenixSuns","WashingtonWizards",99,106,0,2016-04-01
"1138","PhiladelphiaErs","IndianaPacers",102,115,0,2016-04-02
"1139","ChicagoBulls","DetroitPistons",90,94,0,2016-04-02
"1140","SanAntonioSpurs","TorontoRaptors",102,95,0,2016-04-02
"1141","DenverNuggets","SacramentoKings",106,115,0,2016-04-02
"1142","PortlandTrailBlazers","MiamiHeat",110,93,0,2016-04-02
"1143","BrooklynNets","NewOrleansPelicans",87,106,0,2016-04-03
"1144","ClevelandCavaliers","CharlotteHornets",112,103,0,2016-04-03
"1145","HoustonRockets","OklahomaCityThunder",118,110,0,2016-04-03
"1146","MinnesotaTimberwolves","DallasMavericks",78,88,0,2016-04-03
"1147","LosAngelesClippers","WashingtonWizards",114,109,0,2016-04-03
"1148","OrlandoMagic","MemphisGrizzlies",119,107,0,2016-04-03
"1149","PhoenixSuns","UtahJazz",86,101,0,2016-04-03
"1150","MilwaukeeBucks","ChicagoBulls",98,102,0,2016-04-03
"1151","NewYorkKnicks","IndianaPacers",87,92,0,2016-04-03
"1152","GoldenStateWarriors","PortlandTrailBlazers",136,111,0,2016-04-03
"1153","LosAngelesLakers","BostonCeltics",100,107,0,2016-04-03
"1154","PhiladelphiaErs","NewOrleansPelicans",107,93,0,2016-04-05
"1155","MiamiHeat","DetroitPistons",107,89,0,2016-04-05
"1156","TorontoRaptors","CharlotteHornets",96,90,0,2016-04-05
"1157","AtlantaHawks","PhoenixSuns",103,90,0,2016-04-05
"1158","MemphisGrizzlies","ChicagoBulls",108,92,0,2016-04-05
"1159","MilwaukeeBucks","ClevelandCavaliers",80,109,0,2016-04-05
"1160","DenverNuggets","OklahomaCityThunder",102,124,0,2016-04-05
"1161","UtahJazz","SanAntonioSpurs",86,88,0,2016-04-05
"1162","SacramentoKings","PortlandTrailBlazers",107,115,0,2016-04-05
"1163","GoldenStateWarriors","MinnesotaTimberwolves",117,124,1,2016-04-05
"1164","LosAngelesClippers","LosAngelesLakers",103,81,0,2016-04-05
"1165","IndianaPacers","ClevelandCavaliers",123,109,0,2016-04-06
"1166","OrlandoMagic","DetroitPistons",104,108,0,2016-04-06
"1167","WashingtonWizards","BrooklynNets",121,103,0,2016-04-06
"1168","BostonCeltics","NewOrleansPelicans",104,97,0,2016-04-06
"1169","NewYorkKnicks","CharlotteHornets",97,111,0,2016-04-06
"1170","DallasMavericks","HoustonRockets",88,86,0,2016-04-06
"1171","PortlandTrailBlazers","OklahomaCityThunder",120,115,0,2016-04-06
"1172","LosAngelesClippers","LosAngelesLakers",91,81,0,2016-04-06
"1173","AtlantaHawks","TorontoRaptors",95,87,0,2016-04-07
"1174","MiamiHeat","ChicagoBulls",106,98,0,2016-04-07
"1175","HoustonRockets","PhoenixSuns",115,124,0,2016-04-07
"1176","SacramentoKings","MinnesotaTimberwolves",97,105,0,2016-04-07
"1177","GoldenStateWarriors","SanAntonioSpurs",112,101,0,2016-04-07
"1178","CharlotteHornets","BrooklynNets",113,99,0,2016-04-08
"1179","OrlandoMagic","MiamiHeat",112,109,0,2016-04-08
"1180","PhiladelphiaErs","NewYorkKnicks",102,109,0,2016-04-08
"1181","BostonCeltics","MilwaukeeBucks",124,109,0,2016-04-08
"1182","DetroitPistons","WashingtonWizards",112,99,0,2016-04-08
"1183","TorontoRaptors","IndianaPacers",111,98,0,2016-04-08
"1184","NewOrleansPelicans","LosAngelesLakers",110,102,0,2016-04-08
"1185","DallasMavericks","MemphisGrizzlies",103,93,0,2016-04-08
